RECORD_ID,LOADED_AT,ATHLETE_NAME_ORIGINAL,ATHLETE_LAST_NAME,ATHLETE_FIRST_NAME,RELEASE_DATE,YEAR,CLASS,COUNTRY,AGE,RANK,RANK_POINTS,POINTSR1,POINTSR2,POINTSR3,POINTSR4,POINTSR5,POINTSR6,POINTSR7,POINTSR8,POINTSR9,POINTSR10,POINTSR11,POINTSR12,POINTSR13,POINTSR14,POINTSR15,POINTSR16,POINTSR17,POINTSR18,POINTSR19,POINTSR20,POINTSR21,POINTSR22,POINTSR23,POINTSR24,POINTSR25,POINTSR26,POINTSR27,POINTSR28,POINTSR29,POINTSR30,POINTSR31,POINTSR32,POINTSR33,POINTSR34,POINTSR35,POINTSR36,POINTSR37,POINTSR38,POINTSR39,POINTSR40,POINTSR41,POINTSR42,POINTSR43,POINTSR44,POINTSR45,POINTSR46,POINTSR47,POINTSR48,POINTSR49,POINTSR50,POINTSR51,POINTSR52,POINTSR53,POINTSR54,POINTSR55,POINTSR56,POINTSR57,POINTSR58,POINTSR59,POINTSR60,POINTSR61,POINTSR62,POINTSR63,POINTSR64,POINTSR65,POINTSR66,POINTSR67,POINTSR68,POINTSR69,POINTSR70,POINTSR71,POINTSR72,POINTSR73,POINTSR74,POINTSR75,POINTSR76,POINTSR77,POINTSR78,POINTSR79,POINTSR80,POINTSR81,POINTSR82,POINTSR83,POINTSR84,POINTSR85,POINTSR86,POINTSR87,POINTSR88,POINTSR89,POINTSR90,POINTSR91,POINTSR92,POINTSR93,POINTSR94,POINTSR95,POINTSR96,POINTSR97,POINTSR98,POINTSR99,POINTSR100
17f0f7b18af744b683c6b3b31583ab1d,1778586295805429,Boris NEVEU,NEVEU,Boris,2025-10-15,2025,MK1,FRA,39,468,115.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,211.54;Pyrenees Cup Pau 2024; qp:11.54,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
104d6cb27b9eb1b01480d825f66af30c,1778586295805429,Boris NEVEU,NEVEU,Boris,2025-09-10,2025,MK1,FRA,39,347,91.64,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,211.54;Pyrenees Cup Pau 2024; qp:11.54,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,21.21;World Championships Lee Valley 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
363cd396db31e63fcad4ddc250a61c2f,1778586295805429,Boris NEVEU,NEVEU,Boris,2025-07-01,2025,MK1,FRA,39,141,40,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,211.54;Pyrenees Cup Pau 2024; qp:11.54,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,None,None,None,None,28.95;World Cup Vaires sur Marne 2023; qp:0,21.21;World Championships Lee Valley 2023; qp:0,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
abcae84b8e30144d01b996c241343bf5,1778586295805429,Boris NEVEU,NEVEU,Boris,2025-05-30,2025,MK1,FRA,39,52,19.78,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,211.54;Pyrenees Cup Pau 2024; qp:11.54,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,None,None,None,None,28.95;World Cup Vaires sur Marne 2023; qp:0,21.21;World Championships Lee Valley 2023; qp:0,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,None,None,18.99;World Cup Prague 2023; qp:0,28.99;World Cup Augsburg 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ea73d27783b2c7d86262748e0920f788,1778586295805429,Boris NEVEU,NEVEU,Boris,2025-04-03,2025,MK1,FRA,39,48,18.42,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,211.54;Pyrenees Cup Pau 2024; qp:11.54,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,None,None,None,None,28.95;World Cup Vaires sur Marne 2023; qp:0,21.21;World Championships Lee Valley 2023; qp:0,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,22.14;ICF World ranking Krakow 2023; qp:0.71,None,None,18.99;World Cup Prague 2023; qp:0,28.99;World Cup Augsburg 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3bd27aea27ae4753caac829b8841cf90,1778586295805429,Boris NEVEU,NEVEU,Boris,2024-09-25,2024,MK1,FRA,38,42,18.42,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,211.54;Pyrenees Cup Pau 2024; qp:11.54,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,None,None,None,None,28.95;World Cup Vaires sur Marne 2023; qp:0,21.21;World Championships Lee Valley 2023; qp:0,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,22.14;ICF World ranking Krakow 2023; qp:0.71,None,None,18.99;World Cup Prague 2023; qp:0,28.99;World Cup Augsburg 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
022e2edb6dfc0e329222b5e4ea1401b6,1778586295805429,Boris NEVEU,NEVEU,Boris,2024-06-20,2024,MK1,FRA,38,20,10.27,None,None,None,None,None,None,None,None,None,None,None,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,None,None,None,None,28.95;World Cup Vaires sur Marne 2023; qp:0,21.21;World Championships Lee Valley 2023; qp:0,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,22.14;Euros Krakow 2023; qp:0.71,None,None,18.99;World Cup Prague 2023; qp:0,28.99;World Cup Augsburg 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,21.14;ICF World ranking Lee Valley 2022; qp:0.96,None,26.18;World Cup La Seu 2022; qp:0,1.07;World Cup Pau 2022; qp:0,None,1.54;World Championships Augsburg 2022; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
da46291f50561ef6200616da6d7916c4,1778586295805429,Boris NEVEU,NEVEU,Boris,2024-05-22,2024,MK1,FRA,38,15,9.35,None,None,None,None,None,None,None,120.08;Pyrenees Cup La Seu 2024; qp:8.35,None,None,13.73;ICF World ranking Ile de la Reunion 2024; qp:8.57,None,None,None,None,None,None,None,28.95;World Cup Vaires sur Marne 2023; qp:0,21.21;World Championships Lee Valley 2023; qp:0,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,22.14;Euros Krakow 2023; qp:0.71,None,None,18.99;World Cup Prague 2023; qp:0,28.99;World Cup Augsburg 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,21.14;ICF World ranking Lee Valley 2022; qp:0.96,None,26.18;World Cup La Seu 2022; qp:0,1.07;World Cup Pau 2022; qp:0,None,1.54;World Championships Augsburg 2022; qp:0,None,None,None,16.31;World Cup Krakow 2022; qp:0,14.39;World Cup Prague 2022; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ad70fb9662a6d3cb57fa85ba09489b1b,1778586295805429,Boris NEVEU,NEVEU,Boris,2023-11-16,2023,MK1,FRA,37,17,9.86,None,None,None,None,28.95;World Cup Vaires sur Marne 2023; qp:0,21.21;World Championships Lee Valley 2023; qp:0,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,22.14;Euros Krakow 2023; qp:0.71,None,None,18.99;World Cup Prague 2023; qp:0,28.99;World Cup Augsburg 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,21.14;ICF World ranking Lee Valley 2022; qp:0.96,None,26.18;World Cup La Seu 2022; qp:0,1.07;World Cup Pau 2022; qp:0,None,1.54;World Championships Augsburg 2022; qp:0,None,None,None,16.31;World Cup Krakow 2022; qp:0,14.39;World Cup Prague 2022; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6c24405be0e9fd082bb39b46312a42ec,1778586295805429,Boris NEVEU,NEVEU,Boris,2023-09-04,2023,MK1,FRA,37,5,1.45,16.01;World Cup La Seu 2023; qp:0,None,None,None,None,None,22.14;Euros Krakow 2023; qp:0.71,None,None,18.99;World Cup Prague 2023; qp:0,28.99;World Cup Augsburg 2023; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,21.14;ICF World ranking Lee Valley 2022; qp:0.96,None,26.18;World Cup La Seu 2022; qp:0,1.07;World Cup Pau 2022; qp:0,None,1.54;World Championships Augsburg 2022; qp:0,None,None,None,16.31;World Cup Krakow 2022; qp:0,14.39;World Cup Prague 2022; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0;World Championships Bratislava 2021; qp:0,2.24;World Cup Pau 2021; qp:0,2.41;World Cup La Seu 2021; qp:0,10.91;Olympic Games Tokyo 2021; qp:0,None,None,None,22.2;World Championships La Seu 2019; qp:0,5.81;World Cup Prague 2019; qp:0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
