Year,Rank,Name,NOC,Class
1986,1,Marko Cerne,YUG,K1 - Men
1986,2,Ian Wiley,IRL,K1 - Men
1986,3,Tomaz Stokelj,YUG,K1 - Men
1986,4,Andrej Breznik,YUG,K1 - Men
1986,5,Fabrice Olive,FRA,K1 - Men
1986,6,Udo Wällnitz,FRG,K1 - Men
1986,7,Manuel Köhler,AUT,K1 - Men
1986,8,Gair Outhwaite,GBR,K1 - Men
1986,9,Stefan Götz,SUI,K1 - Men
1986,10,Frederic Alapetite,FRA,K1 - Men
1986,11,Sylvain Curinier,FRA,K1 - Men
1986,12,Dusan Muehl,TCH,K1 - Men
1986,13,Emilio Herran,ESP,K1 - Men
1986,14,Xavier Quirin,BEL,K1 - Men
1986,15,Thomas Hilger,FRG,K1 - Men
1986,16,Bernard Goire,BEL,K1 - Men
1986,17,Rory Mcgann,IRL,K1 - Men
1986,18,Alberto Roviera,ITA,K1 - Men
1986,19,Oscar Moro,ITA,K1 - Men
1986,20,David Crosbee,GBR,K1 - Men
1986,21,Manfred Rass,AUT,K1 - Men
1986,22,Jesper Eliason,SWE,K1 - Men
1986,23,George Spittal,GBR,K1 - Men
1986,24,Roger Weist,FRG,K1 - Men
1986,25,Simon Connell,AUS,K1 - Men
1986,26,Alaster Mac Cormick,NZL,K1 - Men
1986,27,Robert Paul,NZL,K1 - Men
1986,28,Fleming Schmidt,NOR,K1 - Men
1986,29,Jiri Ellinger,TCH,K1 - Men
1986,30,Tomas Abraham,TCH,K1 - Men
1986,31,Pistoni Marcello,ITA,K1 - Men
1986,32,Anders Carlsson,SWE,K1 - Men
1986,33,Thomas Brunold,SUI,K1 - Men
1986,34,Adrian Fogg,NZL,K1 - Men
1986,35,Vincent Van Leeuwen,NED,K1 - Men
1986,36,Stefan Cotting,SUI,K1 - Men
1986,37,Joe Mikulsky,USA,K1 - Men
1986,38,Reinhard Kramml,AUT,K1 - Men
1986,39,Jason Carleton,CAN,K1 - Men
1986,40,Eric Martin,USA,K1 - Men
1986,41,Mark Mathews,USA,K1 - Men
1986,42,Cristian Wathieu,BEL,K1 - Men
1986,43,Fintan O'Brien,IRL,K1 - Men
1986,44,Jakob Schneider,SWE,K1 - Men
1986,45,Petri Leukkunen,FIN,K1 - Men
1986,46,Matthew Gilmore,AUS,K1 - Men
1986,47,Marko Leukkunen,FIN,K1 - Men
1986,48,Sander Van Kuyl,NED,K1 - Men
1986,49,Colin Seaman,CAN,K1 - Men
1986,50,Piotr Jandura,POL,K1 - Men
1986,51,Jeremy Dickman,CAN,K1 - Men
1986,52,Timo Tervo,FIN,K1 - Men
1986,53,Matthew Pallister,AUS,K1 - Men
1988,1,Scott Shipley,USA,K1 - Men
1988,2,Claudio Roviera,ITA,K1 - Men
1988,3,Andraz Vehovar,YUG,K1 - Men
1988,4,Roger Weist,FRG,K1 - Men
1988,5,Alessandro Ciaglia,ITA,K1 - Men
1988,6,Brad Nelson,USA,K1 - Men
1988,7,Gregor Becke,AUT,K1 - Men
1988,8,Miroslav Stanovsky,TCH,K1 - Men
1988,9,Michele Giacoppo,ITA,K1 - Men
1988,10,Ales Jug,YUG,K1 - Men
1988,11,Cristian Wathieu,BEL,K1 - Men
1988,12,Carsten Nillies,FRG,K1 - Men
1988,13,Norbert Pfannhauser,AUT,K1 - Men
1988,14,Kim Gaster,GBR,K1 - Men
1988,15,Richard Macquire,AUS,K1 - Men
1988,16,Sébastien Durst,FRA,K1 - Men
1988,17,Thomas Monier,FRA,K1 - Men
1988,18,Fedja Marusic,YUG,K1 - Men
1988,19,Sander Van Kuyl,NED,K1 - Men
1988,20,Olivier Tanton,FRA,K1 - Men
1988,21,Jörg Gregor,FRG,K1 - Men
1988,22,Jirí Prskavec,TCH,K1 - Men
1988,23,Matthew Stephens,GBR,K1 - Men
1988,24,Xavier Etxaniz Pena,ESP,K1 - Men
1988,25,Joakim Söderin,SWE,K1 - Men
1988,26,Joris Klinkenbijl,NED,K1 - Men
1988,27,Kaine Pinder,AUS,K1 - Men
1988,28,Alexandr Adamek,TCH,K1 - Men
1988,29,Günter Martinsich,AUT,K1 - Men
1988,30,Michael Van De Boogard,NED,K1 - Men
1988,31,Max-Andre Frey,SUI,K1 - Men
1988,32,Lars Argelius,SWE,K1 - Men
1988,33,Jörg Wanner,SUI,K1 - Men
1988,34,Mika Brännare,FIN,K1 - Men
1988,35,Aaran Merrill,AUS,K1 - Men
1988,36,Warren Cheetham,NZL,K1 - Men
1988,37,Jean-Luc Fink,SUI,K1 - Men
1988,38,Thomas Pellden,SWE,K1 - Men
1988,39,Fabian Goire,BEL,K1 - Men
1988,40,Owen Hughes,NZL,K1 - Men
1988,41,David Watson,USA,K1 - Men
1988,42,Inaki Urtizberea,ESP,K1 - Men
1988,43,Tadeusz Udziela,POL,K1 - Men
1988,44,Toni Fohlin,FIN,K1 - Men
1988,45,Michael Green,GBR,K1 - Men
1988,46,Alfred Redmond,IRL,K1 - Men
1988,47,Alfred Perez,ESP,K1 - Men
1988,48,Vaughan Crocker,NZL,K1 - Men
1988,49,John Miller,IRL,K1 - Men
1988,50,Marko Leukkunen,FIN,K1 - Men
1988,51,Jonathan Woods,IRL,K1 - Men
1988,52,Thierry Hulpiau,BEL,K1 - Men
1990,1,Alexandr Adamek,TCH,K1 - Men
1990,2,Peter Buckley,GBR,K1 - Men
1990,3,Jirí Prskavec,TCH,K1 - Men
1990,4,Andraz Vehovar,YUG,K1 - Men
1990,5,Oliver Fix,FRG,K1 - Men
1990,6,Paul Ratcliffe,GBR,K1 - Men
1990,7,Eric Giddens,USA,K1 - Men
1990,8,Miha Stricelj,YUG,K1 - Men
1990,9,Lutz Jogwer,FRG,K1 - Men
1990,10,Enrico Lazzarotto,ITA,K1 - Men
