athlete_name,competition,points,year,age,class,rank,qp
Timothy ANDERSON,World Championships Foix 2010,67.12,2010,16,MK1,369,28.54
Timothy ANDERSON,ICF World Ranking Wausau 2012,55.09,2012,18,MK1,300,36.37
Timothy ANDERSON,ICF World Ranking Liptovsky Mikulas 2013,48.33,2013,19,MK1,236,10.24
Timothy ANDERSON,ICF World Ranking Penrith 2014,15.67,2014,20,MK1,144,12.21
Timothy ANDERSON,Oceania Championships Penrith 2014,24.5,2014,20,MK1,144,2.54
Timothy ANDERSON,ICF World Ranking Ivrea 2015,40.01,2015,21,MK1,73,10.63
Timothy ANDERSON,ICF World Ranking Meran 2015,37.01,2015,21,MK1,69,13.67
Timothy ANDERSON,ICF World Ranking Penrith 2015,25.22,2015,21,MK1,69,4.3
Timothy ANDERSON,ICF World Ranking Tacen 2015,44.38,2015,21,MK1,69,11.01
Timothy ANDERSON,Pyrenees Cup La Seu 2015,33.38,2015,21,MK1,69,9.01
Timothy ANDERSON,Slovak Open Bratislava 2015,40.42,2015,21,MK1,69,19
Timothy ANDERSON,World Championships Foz do Iguassu 2015,35.15,2015,21,MK1,69,15.87
Timothy ANDERSON,ICF World Ranking Penrith 2016,23.19,2016,22,MK1,86,4.2
Timothy ANDERSON,World Championships Krakow 2016,41.39,2016,22,MK1,86,9.28
Timothy ANDERSON,World Cup Prague 2016,30.67,2016,22,MK1,77,0
Timothy ANDERSON,World Cup Tacen 2016,27.17,2016,22,MK1,77,0
Timothy ANDERSON,ICF World Ranking Bratislava 2017,25.43,2017,23,MK1,73,22.75
Timothy ANDERSON,ICF World Ranking Penrith 2017,25.46,2017,23,MK1,76,3.85
Timothy ANDERSON,Oceania Championships Auckland 2017,28.14,2017,23,MK1,76,8.31
Timothy ANDERSON,Pyrenees Cup Pau 2017,39.52,2017,23,MK1,76,10.86
Timothy ANDERSON,World Championships Bratislava 2017,54.9,2017,23,MK1,73,13.83
Timothy ANDERSON,World Cup Augsburg 2017,26.3,2017,23,MK1,71,0
Timothy ANDERSON,World Cup Prague 2017,36.06,2017,23,MK1,71,0
Timothy ANDERSON,ICF World Ranking Penrith 2018,12.63,2018,24,MK1,57,1.54
Timothy ANDERSON,Oceania Championships Auckland 2018,18.9,2018,24,MK1,57,8.72
Timothy ANDERSON,"World Championships Deodoro, Rio 2018",34.37,2018,24,MK1,45,0
Timothy ANDERSON,World Cup Augsburg 2018,15.68,2018,24,MK1,44,0
Timothy ANDERSON,World Cup Krakow 2018,32.6,2018,24,MK1,44,0
Timothy ANDERSON,World Cup La Seu 2018,27.11,2018,24,MK1,43,0
Timothy ANDERSON,World Cup Liptovsky Mikulas 2018,22.89,2018,24,MK1,44,0
Timothy ANDERSON,ICF World Ranking Penrith 2019,22.61,2019,25,MK1,33,2.1
Timothy ANDERSON,Oceania Championships Penrith 2019,9.08,2019,25,MK1,33,2.13
Timothy ANDERSON,World Championships La Seu 2019,17.17,2019,25,MK1,33,0
Timothy ANDERSON,World Cup Bratislava 2019,25.92,2019,25,MK1,34,0
Timothy ANDERSON,World Cup Lee Valley 2019,25.79,2019,25,MK1,34,0
Timothy ANDERSON,World Cup Prague 2019,32.74,2019,25,MK1,36,0
Timothy ANDERSON,World Cup Tacen 2019,45.04,2019,25,MK1,34,0
Timothy ANDERSON,Australian Open Penrith 2020,,2020,26,MK1,2,0
Timothy ANDERSON,Oceania Championships Auckland 2020,129.05,2020,26,MK1,35,9.56
Timothy ANDERSON,Australian Open Penrith 2022,,2022,28,MK1,2,0
Timothy ANDERSON,ICF World Ranking Augsburg 2022,22.79,2022,28,MK1,46,2.54
Timothy ANDERSON,Oceania Championships Penrith 2022,25.01,2022,28,MK1,45,16.77
Timothy ANDERSON,World Championships Augsburg 2022,24.27,2022,28,MK1,46,0
Timothy ANDERSON,World Cup Krakow 2022,21.9,2022,28,MK1,46,0
Timothy ANDERSON,World Cup La Seu 2022,27.41,2022,28,MK1,44,0
Timothy ANDERSON,World Cup Pau 2022,17.07,2022,28,MK1,44,0
Timothy ANDERSON,World Cup Prague 2022,18.31,2022,28,MK1,46,0
Timothy ANDERSON,World Cup Tacen 2022,18.57,2022,28,MK1,46,0
Timothy ANDERSON,Australian Open Penrith 2023,,2023,29,MK1,7,0
Timothy ANDERSON,Penrith Open Penrith 2023,,2023,29,MK1,2,0
Timothy ANDERSON,Pyrenees Cup La Seu 2023,12.77,2023,29,MK1,36,10.62
Timothy ANDERSON,World Championships Lee Valley 2023,5.22,2023,29,MK1,19,0
Timothy ANDERSON,World Cup Augsburg 2023,21.76,2023,29,MK1,28,0
Timothy ANDERSON,World Cup La Seu 2023,11.1,2023,29,MK1,28,0
Timothy ANDERSON,World Cup Prague 2023,22.47,2023,29,MK1,28,0
Timothy ANDERSON,World Cup Tacen 2023,12.65,2023,29,MK1,28,0
Timothy ANDERSON,World Cup Vaires sur Marne 2023,20.37,2023,29,MK1,19,0
Timothy ANDERSON,Australian Open Penrith 2024,7.81,2024,30,MK1,18,1.97
Timothy ANDERSON,Oceania Championships Penrith 2024,12.09,2024,30,MK1,18,4.68
Timothy ANDERSON,Olympic Games Paris 2024,4.56,2024,30,MK1,12,0
Timothy ANDERSON,World Cup Augsburg 2024,5.18,2024,30,MK1,14,0
Timothy ANDERSON,World Cup Ivrea 2024,25.02,2024,30,MK1,11,0
Timothy ANDERSON,World Cup Krakow 2024,19.41,2024,30,MK1,14,0
Timothy ANDERSON,World Cup La Seu 2024,25.29,2024,30,MK1,11,0
Timothy ANDERSON,World Cup Prague 2024,113.42,2024,30,MK1,14,0
Timothy ANDERSON,Australian Open Penrith 2025,15.32,2025,31,MK1,12,2.69
Timothy ANDERSON,Oceania Championships Penrith 2025,11.34,2025,31,MK1,12,3.55
Timothy ANDERSON,World Championships Penrith 2025,6.03,2025,31,MK1,11,0
Timothy ANDERSON,World Cup La Seu 2025,107.95,2025,31,MK1,13,0
Timothy ANDERSON,World Cup Pau 2025,22.92,2025,31,MK1,13,0
Timothy ANDERSON,World Cup Prague 2025,105.55,2025,31,MK1,13,0
Timothy ANDERSON,Australian Open Penrith 2026,10.54,2026,32,MK1,13,4.35
Timothy ANDERSON,ICF World Ranking Oklahoma 2026,27.09,2026,32,MK1,13,1.89
